Names,Rug_Pad_R1,Rug_Pad_R2,Rug_Pad_R3,Mean,Std. Dev.
316,41.9,42.2,47.2,43.8,3.0
317,42.2,41.7,46.3,43.4,2.5
318,42.3,42.0,45.6,43.3,2.0
319,41.5,41.8,46.3,43.2,2.7
320,41.8,42.1,45.5,43.1,2.0
321,42.0,41.0,45.8,42.9,2.5
322,42.4,41.5,44.7,42.9,1.6
323,41.9,41.1,43.6,42.2,1.3
324,41.8,41.7,43.7,42.4,1.1
325,42.1,41.4,42.4,42.0,0.5
326,41.6,41.2,42.8,41.9,0.8
327,41.4,41.4,42.9,41.9,0.9
328,41.5,40.6,41.5,41.2,0.5
329,40.5,40.9,41.7,41.0,0.6
330,41.0,41.1,41.7,41.3,0.4
331,40.7,41.4,41.7,41.2,0.5
332,40.3,41.3,40.5,40.7,0.5
333,40.4,40.8,40.3,40.5,0.3
334,40.2,40.7,40.0,40.3,0.4
335,40.1,40.7,39.5,40.1,0.6
336,39.9,41.0,38.9,39.9,1.0
337,40.0,40.5,39.1,39.9,0.7
338,39.3,40.6,38.6,39.5,1.0
339,40.0,41.0,38.2,39.7,1.4
340,39.8,40.1,36.9,39.0,1.8
341,39.8,40.5,37.2,39.2,1.7
342,39.0,40.4,37.0,38.8,1.7
343,39.2,39.9,36.8,38.6,1.7
344,39.7,40.0,36.9,38.9,1.7
345,39.6,40.4,35.7,38.6,2.5
346,39.2,39.6,35.4,38.1,2.3
347,38.4,40.2,35.0,37.9,2.7
348,39.2,39.9,34.6,37.9,2.9
349,38.3,39.9,34.4,37.5,2.9
350,39.2,39.4,33.8,37.5,3.2
351,38.5,38.7,33.6,36.9,2.9
352,38.4,39.1,33.6,37.0,3.0
353,38.5,39.1,33.6,37.1,3.0
354,37.8,38.7,33.0,36.5,3.1
355,37.5,39.0,32.6,36.4,3.3
356,37.3,38.3,32.4,36.0,3.2
357,37.6,38.5,32.0,36.0,3.5
358,37.8,37.9,32.0,35.9,3.4
359,36.3,37.7,31.1,35.0,3.5
360,36.9,38.1,30.6,35.2,4.0
361,36.4,37.8,30.2,34.8,4.1
362,36.3,37.1,30.2,34.6,3.8
363,36.4,37.3,30.2,34.6,3.9
364,36.2,36.8,30.2,34.4,3.6
365,36.2,37.4,30.1,34.5,3.9
366,35.2,36.5,29.6,33.8,3.7
367,35.9,36.4,29.1,33.8,4.0
368,35.4,36.7,29.0,33.7,4.1
369,35.1,36.7,28.8,33.5,4.1
370,34.4,36.9,28.9,33.4,4.1
371,34.7,35.9,28.2,33.0,4.2
372,34.5,36.1,28.3,33.0,4.2
373,33.6,35.6,28.1,32.4,3.9
374,34.1,35.0,27.9,32.3,3.8
375,34.3,35.2,28.1,32.5,3.9
376,33.4,35.2,27.3,32.0,4.2
377,33.5,34.9,26.5,31.6,4.5
378,33.3,34.4,26.8,31.5,4.1
379,33.2,34.5,26.2,31.3,4.5
380,33.1,34.8,26.0,31.3,4.7
381,32.5,34.0,25.5,30.6,4.5
382,32.6,33.7,24.9,30.4,4.8
383,32.3,34.2,24.5,30.3,5.1
384,32.8,34.1,24.5,30.4,5.2
385,32.1,34.3,24.3,30.3,5.2
386,31.6,34.1,24.5,30.1,5.0
387,31.3,33.7,24.1,29.7,5.0
388,31.2,33.6,23.8,29.6,5.1
389,31.0,33.2,24.2,29.5,4.7
390,31.1,33.7,23.3,29.4,5.4
391,30.6,33.5,23.1,29.0,5.4
392,30.4,33.5,23.2,29.0,5.3
393,30.6,33.1,22.9,28.9,5.3
394,30.3,33.0,22.5,28.6,5.5
395,29.9,32.9,22.3,28.4,5.5
396,29.9,32.8,22.0,28.2,5.6
397,30.5,32.9,22.2,28.5,5.6
398,29.3,32.6,21.5,27.8,5.7
399,29.2,32.2,21.3,27.5,5.6
400,29.5,31.4,20.9,27.3,5.6
401,28.7,31.6,21.1,27.1,5.4
402,29.3,31.5,20.7,27.2,5.7
403,28.9,31.6,20.3,26.9,5.9
404,28.3,30.8,20.0,26.3,5.6
405,28.5,30.7,20.0,26.4,5.7
406,27.8,30.5,19.4,25.9,5.8
407,28.0,30.3,19.3,25.9,5.8
408,28.0,30.2,19.0,25.8,5.9
409,27.8,29.9,18.7,25.4,5.9
410,27.7,29.7,18.7,25.4,5.9
411,27.6,29.3,18.4,25.1,5.9
412,27.5,29.2,18.2,24.9,5.9
413,27.3,28.9,17.9,24.7,5.9
414,27.0,28.8,17.8,24.5,5.9
415,26.6,28.6,17.8,24.3,5.7
416,26.5,28.2,17.7,24.1,5.7
417,26.7,28.1,17.2,24.0,5.9
418,25.8,27.5,17.2,23.5,5.5
419,25.7,27.8,17.0,23.5,5.7
420,25.5,27.7,16.7,23.3,5.8
421,25.1,27.0,16.6,22.9,5.5
422,24.7,27.4,16.6,22.9,5.6
423,24.2,27.2,16.3,22.6,5.6
424,24.0,27.2,16.2,22.5,5.7
425,23.6,27.3,16.2,22.4,5.7
426,23.2,27.0,15.7,22.0,5.7
427,23.4,26.7,15.9,22.0,5.5
428,22.9,26.5,15.7,21.7,5.5
429,22.8,26.7,15.4,21.6,5.7
430,22.7,26.4,15.7,21.6,5.5
431,22.7,26.0,15.6,21.4,5.3
432,22.3,26.3,15.2,21.3,5.6
433,22.1,25.9,15.1,21.0,5.5
434,21.9,25.5,14.9,20.8,5.4
435,21.6,25.4,15.0,20.7,5.3
436,21.8,25.1,15.1,20.6,5.1
437,21.8,24.8,14.6,20.4,5.2
438,21.7,24.9,14.5,20.4,5.3
439,21.6,24.7,14.6,20.3,5.2
440,21.7,24.6,14.4,20.2,5.3
441,21.3,24.1,14.5,20.0,5.0
442,20.7,24.0,14.2,19.6,5.0
443,20.3,23.8,14.5,19.6,4.7
444,20.0,23.8,14.2,19.3,4.8
445,20.2,23.4,14.2,19.3,4.6
446,19.9,22.9,14.2,19.0,4.4
447,20.0,23.2,14.0,19.1,4.7
448,19.6,23.0,14.0,18.9,4.5
449,19.9,22.7,13.6,18.8,4.7
450,19.4,22.8,13.8,18.7,4.5
451,19.1,22.7,13.7,18.5,4.5
452,19.1,22.4,13.5,18.4,4.5
453,18.7,22.4,13.4,18.2,4.5
454,18.5,22.4,13.3,18.1,4.6
455,18.7,22.5,13.4,18.2,4.5
456,18.5,22.2,13.3,18.0,4.4
457,18.4,21.8,13.3,17.8,4.3
458,18.6,22.1,13.3,18.0,4.4
459,18.6,21.5,13.1,17.7,4.3
460,18.3,21.7,13.2,17.7,4.2
461,18.5,21.7,13.0,17.7,4.4
462,18.4,22.0,12.9,17.8,4.6
463,18.2,21.3,13.0,17.5,4.2
464,18.5,21.2,12.8,17.5,4.3
465,18.3,21.2,12.6,17.4,4.4
466,18.2,20.9,12.4,17.2,4.3
467,18.0,20.9,,19.4,2.0
468,17.9,20.3,,19.1,1.7
469,17.8,20.1,,18.9,1.6
470,17.8,19.6,,18.7,1.3
471,17.4,19.7,,18.5,1.6
472,17.3,19.6,,18.5,1.6
473,17.3,19.2,,18.2,1.4
474,17.2,18.9,,18.1,1.2
475,17.4,18.9,,18.1,1.0
476,17.0,18.6,,17.8,1.2
477,16.6,18.5,,17.5,1.4
478,16.5,18.4,,17.5,1.4
479,16.1,18.1,,17.1,1.4
480,15.7,18.2,,17.0,1.8
481,15.7,17.9,,16.8,1.6
482,15.4,17.7,,16.5,1.6
483,15.4,17.5,,16.5,1.5
484,15.2,17.5,,16.3,1.6
485,15.2,17.4,,16.3,1.5
486,15.0,17.1,,16.0,1.5
487,14.7,16.9,,15.8,1.5
488,14.8,16.7,,15.8,1.4
489,14.6,16.8,,15.7,1.6
490,14.7,16.7,,15.7,1.4
491,14.5,16.6,,15.5,1.4
492,14.6,16.3,,15.5,1.2
493,14.1,16.3,,15.2,1.5
494,13.9,16.3,,15.1,1.7
495,13.9,15.9,,14.9,1.4
496,13.7,15.7,,14.7,1.4
497,13.7,15.7,,14.7,1.4
498,13.6,15.4,,14.5,1.2
499,13.5,15.4,,14.4,1.3
500,13.5,14.7,,14.1,0.9
501,13.1,15.1,,14.1,1.4
502,13.1,14.8,,14.0,1.2
503,13.0,14.6,,13.8,1.1
504,12.8,14.4,,13.6,1.1
505,12.6,14.4,,13.5,1.2
506,12.4,14.4,,13.4,1.4
507,12.1,14.4,,13.3,1.6
508,12.1,14.2,,13.1,1.5
509,11.9,14.3,,13.1,1.7
510,11.6,14.2,,12.9,1.8
511,11.6,14.0,,12.8,1.7
512,11.6,13.8,,12.7,1.6
513,11.3,13.6,,12.5,1.6
514,11.5,13.7,,12.6,1.6
515,11.3,13.7,,12.5,1.7
516,11.1,13.5,,12.3,1.7
517,11.3,13.3,,12.3,1.4
518,11.1,13.2,,12.2,1.5
519,11.0,13.1,,12.1,1.5
520,11.0,12.9,,12.0,1.3
521,10.8,12.7,,11.8,1.3
522,10.9,12.7,,11.8,1.3
523,10.8,12.5,,11.7,1.2
524,10.8,12.4,,11.6,1.1
525,10.5,12.0,,11.3,1.1
526,10.6,11.9,,11.2,0.9
527,10.2,11.6,,10.9,1.0
528,10.3,11.7,,11.0,1.0
529,10.2,11.5,,10.8,0.9
530,10.0,11.5,,10.7,1.0
