Names,Cotton_Rug_R1,Cotton_Rug_R2,Cotton_Rug_R3,Mean,Std. Dev.
620,48.4,46.6,48.8,47.9,1.2
621,49.5,47.1,48.9,48.5,1.2
622,49.4,46.7,48.4,48.2,1.4
623,48.8,46.5,48.6,48.0,1.3
624,48.7,46.1,48.7,47.8,1.5
625,48.6,46.1,48.8,47.8,1.5
626,49.4,45.5,48.8,47.9,2.1
627,48.7,45.3,48.8,47.6,2.0
628,48.4,45.8,48.2,47.5,1.5
629,48.5,45.7,49.0,47.7,1.8
630,48.7,46.1,48.6,47.8,1.5
631,48.4,45.2,48.5,47.4,1.8
632,48.7,45.5,49.0,47.7,2.0
633,48.6,45.3,48.6,47.5,1.9
634,48.6,45.1,48.4,47.4,2.0
635,48.7,45.2,48.7,47.5,2.0
636,48.4,45.3,48.8,47.5,1.9
637,48.7,45.6,48.1,47.5,1.6
638,48.8,44.8,48.5,47.4,2.2
639,48.5,45.6,49.0,47.7,1.8
640,48.5,45.3,49.1,47.7,2.0
641,47.8,45.0,49.2,47.3,2.1
642,47.6,45.3,49.1,47.3,1.9
643,48.0,44.8,48.5,47.1,2.0
644,47.0,44.9,48.8,46.9,2.0
645,46.9,44.9,48.6,46.8,1.8
646,47.4,44.9,49.0,47.1,2.0
647,47.1,45.2,48.2,46.8,1.5
648,46.3,44.2,49.1,46.5,2.5
649,46.7,44.6,48.6,46.7,2.0
650,46.6,44.9,48.8,46.8,1.9
651,46.6,44.9,48.3,46.6,1.7
652,46.2,44.4,48.9,46.5,2.2
653,45.8,44.4,48.4,46.2,2.0
654,46.0,44.9,48.5,46.5,1.8
655,45.6,45.0,48.6,46.4,1.9
656,45.9,44.0,48.1,46.0,2.1
657,45.3,44.6,48.2,46.0,1.9
658,45.1,44.2,49.2,46.2,2.7
659,45.2,43.7,48.1,45.7,2.3
660,44.5,44.6,48.6,45.9,2.3
661,44.9,43.9,47.9,45.6,2.1
662,44.8,44.3,48.6,45.9,2.3
663,43.9,44.6,47.3,45.2,1.8
664,43.9,43.4,48.0,45.1,2.5
665,44.2,43.4,47.1,44.9,2.0
666,43.2,43.7,47.1,44.7,2.1
667,43.9,43.7,47.6,45.1,2.2
668,43.5,43.7,47.7,45.0,2.4
669,42.9,43.8,46.9,44.5,2.1
670,42.9,44.0,47.9,44.9,2.6
671,42.6,43.9,47.6,44.7,2.6
672,42.3,43.9,47.0,44.4,2.4
673,41.9,43.6,46.7,44.1,2.4
674,42.3,43.1,46.6,44.0,2.3
675,41.6,43.4,47.1,44.0,2.8
676,41.9,43.5,46.0,43.8,2.1
677,41.8,44.0,46.0,43.9,2.1
678,41.8,43.5,46.6,43.9,2.4
679,41.0,44.1,46.6,43.9,2.8
680,40.9,43.4,46.6,43.6,2.9
681,40.4,43.5,46.4,43.4,3.0
682,41.2,43.7,46.4,43.8,2.6
683,40.7,43.9,46.6,43.7,3.0
684,41.2,43.8,47.2,44.1,3.0
685,41.1,43.9,46.7,43.9,2.8
