Time after Ignition,PP_R1,PP_R2,PP_R3,Mean,Std. Dev.
53.0,2069.726370623336,2098.8508314503683,1947.0600262774929,2038.5457427837325,80.55610341936459
53.25,2074.93723218191,1917.2459204114068,1970.1973348411177,1987.4601624781446,80.25049137229502
53.5,2018.2055176397512,1770.5992669034679,2012.622431795605,1933.8090721129413,141.3714012778804
53.75,1725.3810393678816,2054.186411140371,1979.3375973803759,1919.6350159628762,172.34135254646847
54.0,2031.384231783478,1852.8035817762927,2161.4842532639486,2015.2240222745731,154.97355747367456
54.25,2190.8190360267386,1605.0823085933005,2114.504694302236,1970.135346307425,318.4395703213462
54.5,1751.1208096633343,2040.9528475297905,2051.728263428739,1947.933973540621,170.53033015710045
54.75,2040.0442089646947,1545.5198785036077,1867.2496635159803,1817.6045836614276,250.97221722696773
55.0,2003.9570674279712,2152.410348734519,1790.8060508669994,1982.3911556764967,181.76422494902505
55.25,2022.5970280647552,1749.1884786798246,2082.2520964067585,1951.345867717113,177.59614086883303
55.5,2023.47021303111,2074.0275169491,2014.6151475872427,2037.370959189151,32.05277626212993
55.75,2195.787945219006,1793.8063781756134,2229.0254547711543,2072.873259388591,242.24971858138656
56.0,1852.2256575420301,1854.5689542513176,1810.882711629932,1839.2257744744265,24.57375975348844
56.25,2428.698853819021,1999.3105363657626,1909.1189345225341,2112.376108235773,277.63049326533877
56.5,1885.6068923203552,2254.7394348212333,1967.1985046020934,2035.848277247894,193.90539432035078
56.75,2129.1293649100157,2337.2397233807346,1908.8616839481538,2125.076924079635,214.21776974503834
57.0,2403.0090670053564,2109.6980349600044,2048.3765862218975,2187.0278960624196,189.5414985438458
57.25,1948.4720732819546,2068.6258077705174,2017.0985994549242,2011.398826835799,60.27931265218036
57.5,2099.617460987051,1854.5958964655692,2286.723871030408,2080.312409494343,216.70985293758474
57.75,2055.875817773623,2565.0843289795434,2399.5179295202192,2340.1593587577954,259.7420006725053
58.0,1937.1394192432708,2028.9660844911866,1958.0598968844333,1974.721800206297,48.1274181664521
58.25,2268.7591573774766,1636.655287292359,2144.9961758400004,2016.8035401699453,334.983342159237
58.5,2114.503253029339,2243.476978743518,2138.596020866558,2165.525417546472,68.57441057207265
58.75,2024.6090156683435,2183.3182377378944,1993.8859975692599,2067.2710836584993,101.66701745268378
59.0,2284.6292259217907,2238.9900213040764,1804.5941820935634,2109.40447643981,264.95796063549136
59.25,2314.546108991027,1909.2354242512963,2298.5783205474054,2174.119951263243,229.5356226268638
59.5,1859.8228963601873,2037.3003129478764,2134.067115722987,2010.3967750103502,139.08746610908116
59.75,2135.956921770925,2020.2992172805061,2133.202617309854,2096.486252120428,65.99427821061995
60.0,2657.1476523570022,2086.191866731399,2541.0964324214765,2428.145317169959,301.7715909628649
60.25,2333.2087672526964,1875.4241259378477,2249.9831092505888,2152.872000813711,243.85368562381916
60.5,1950.8612184658568,1944.6959425218809,2297.919489079644,2064.492216689127,202.17744997556898
60.75,2158.5788047909155,2290.982922066788,1999.7659803797858,2149.7759024124966,145.80790478947185
61.0,2786.3123917017547,2365.5902796166847,2336.619974222425,2496.1742151802882,251.6842083942901
61.25,2323.3821026412706,2434.385007400905,2581.1303788572145,2446.2991629664634,129.28651824611438
61.5,2363.3963179124526,2108.751138329815,1855.6510795151332,2109.2661785858004,253.8730110284207
61.75,2296.8465022291225,2115.9945638985982,1929.4733069038753,2114.104791010532,183.69388828169247
62.0,2194.3746619925087,2522.995145474056,2196.219866423709,2304.529891296758,189.19870944832525
