Names,PP_R1,PP_R2,PP_R3,Mean,Std. Dev.
877,821.5,871.8,901.2,864.8,40.3
878,832.4,863.4,853.2,849.7,15.8
879,801.8,841.3,876.2,839.8,37.2
880,864.0,905.8,920.3,896.7,29.2
881,833.3,865.8,876.7,858.6,22.6
882,823.0,862.2,908.3,864.5,42.7
883,869.6,892.5,902.5,888.2,16.9
884,847.1,918.9,920.7,895.6,42.0
885,842.3,894.1,870.0,868.8,25.9
886,875.2,904.8,944.2,908.0,34.6
887,843.8,822.4,930.1,865.4,57.0
888,858.0,897.6,991.2,915.6,68.4
889,920.2,915.1,912.4,915.9,3.9
890,897.6,895.9,882.4,892.0,8.3
891,930.6,884.7,949.9,921.7,33.5
892,904.5,914.6,913.4,910.8,5.5
893,853.5,964.9,967.5,928.6,65.1
894,888.8,910.4,927.1,908.8,19.2
895,893.8,982.8,969.3,948.6,48.0
896,874.9,935.7,908.9,906.5,30.5
897,880.7,966.2,993.9,946.9,59.0
898,904.4,951.4,1026.3,960.7,61.5
899,881.5,953.1,931.2,922.0,36.7
900,933.8,906.5,1014.7,951.7,56.3
901,866.4,940.1,976.5,927.7,56.1
902,906.3,935.8,966.2,936.1,29.9
903,923.9,904.2,926.3,918.1,12.1
904,873.6,965.2,953.5,930.8,49.9
905,908.4,931.5,986.3,942.0,40.0
906,851.2,964.9,976.6,930.9,69.3
907,907.1,928.8,1018.6,951.5,59.1
908,921.5,926.0,1008.6,952.0,49.1
909,910.2,892.0,991.0,931.0,52.7
910,862.5,966.4,1017.1,948.7,78.8
911,914.6,977.3,931.6,941.2,32.4
912,896.4,930.2,995.4,940.7,50.3
913,892.6,974.9,954.0,940.5,42.8
914,977.3,1009.2,1070.0,1018.8,47.1
915,957.5,977.0,1011.2,981.9,27.2
916,931.1,967.3,980.7,959.7,25.7
917,916.6,981.3,969.6,955.9,34.5
918,916.0,959.8,941.1,939.0,22.0
919,993.5,979.0,1030.0,1000.8,26.3
920,911.7,1050.4,1099.7,1020.6,97.5
921,898.9,953.5,974.5,942.3,39.0
922,953.7,1032.8,1071.0,1019.2,59.8
923,903.8,995.5,979.8,959.7,49.1
924,941.4,1021.9,1048.9,1004.1,55.9
925,951.1,952.0,1080.4,994.5,74.4
926,871.4,907.9,1016.1,931.8,75.3
927,1020.4,967.4,973.7,987.2,28.9
928,893.3,1029.9,1143.3,1022.2,125.2
929,973.7,980.5,1050.3,1001.5,42.4
930,931.9,968.5,1066.1,988.8,69.4
931,993.6,938.2,1133.0,1021.6,100.4
932,1020.8,1034.4,1040.1,1031.8,9.9
933,922.9,1012.4,1078.1,1004.5,77.9
934,960.9,1071.6,1148.6,1060.4,94.4
935,969.7,976.9,1033.2,993.3,34.8
936,955.5,974.3,1132.8,1020.9,97.4
937,983.0,1013.0,1097.6,1031.2,59.4
938,1002.1,1101.9,1103.9,1069.3,58.2
939,1026.8,1035.0,1062.0,1041.3,18.4
940,968.2,1006.9,1093.5,1022.9,64.2
941,973.0,1006.3,1121.6,1033.7,78.0
942,1003.3,958.5,1068.5,1010.1,55.3
943,982.7,999.2,1056.5,1012.8,38.7
944,956.5,1034.4,1155.6,1048.8,100.3
945,1043.8,990.9,1057.0,1030.6,35.0
946,1017.3,993.2,1136.1,1048.9,76.5
947,921.1,995.6,1138.0,1018.2,110.2
948,983.2,1061.7,1178.7,1074.6,98.4
949,1004.1,1098.6,1062.1,1054.9,47.6
950,1086.2,1088.9,1037.4,1070.8,29.0
951,1024.6,1034.7,1149.9,1069.7,69.6
952,962.6,1094.6,1163.9,1073.7,102.2
953,1092.1,1057.1,1130.6,1093.3,36.7
954,1026.9,1071.5,1114.0,1070.8,43.5
955,1031.0,1057.3,1150.4,1079.6,62.7
956,987.9,1053.8,1109.9,1050.6,61.1
957,1083.1,1085.2,1150.7,1106.3,38.4
958,1093.7,1062.3,1141.2,1099.1,39.7
959,1044.5,984.6,1191.3,1073.5,106.3
960,957.6,1081.3,1170.9,1069.9,107.1
961,992.7,1128.4,1150.8,1090.6,85.6
962,1054.5,1082.7,1140.5,1092.5,43.8
963,1031.0,1069.3,1134.5,1078.3,52.3
964,1056.8,1060.7,1057.8,1058.4,2.0
965,997.0,1131.7,1150.1,1092.9,83.6
966,997.8,1042.2,1085.1,1041.7,43.7
967,1141.2,1122.5,1070.4,1111.4,36.7
