Names,Wool_Rug_R1,Wool_Rug_R2,Wool_Rug_R3,Wool_Rug_R4,Mean,Std. Dev.
2777,79.6,25.7,22.9,109.3,59.4,42.3
2778,81.3,25.9,23.1,110.3,60.1,42.9
2779,79.8,26.0,22.9,110.1,59.7,42.6
2780,79.1,25.9,23.0,113.2,60.3,43.7
2781,78.4,25.4,22.6,111.0,59.4,42.9
2782,79.8,25.6,23.2,110.9,59.9,42.9
2783,79.1,25.1,22.9,111.1,59.5,43.1
2784,78.9,25.4,23.4,109.8,59.4,42.3
2785,78.3,24.7,23.4,110.8,59.3,42.8
2786,76.9,24.6,23.0,110.3,58.7,42.6
2787,78.1,24.5,23.3,111.0,59.3,42.9
2788,76.8,24.6,23.5,109.2,58.5,42.0
2789,77.4,24.6,23.4,111.4,59.2,42.9
2790,78.3,24.5,23.3,111.0,59.3,43.0
2791,77.3,24.3,23.4,110.1,58.8,42.5
2792,76.7,24.3,23.7,110.3,58.7,42.4
2793,76.6,23.9,23.6,110.2,58.6,42.5
2794,77.9,24.0,23.8,111.1,59.2,42.9
2795,78.3,24.0,23.8,110.8,59.2,42.9
2796,76.7,23.8,23.4,112.4,59.1,43.5
2797,77.4,23.8,24.0,111.4,59.1,43.0
2798,77.1,23.6,23.6,112.3,59.1,43.5
2799,76.2,23.6,24.0,112.2,59.0,43.2
2800,76.4,23.6,23.8,111.2,58.8,42.9
2801,77.1,23.5,23.6,112.4,59.2,43.5
2802,76.3,23.6,23.8,113.2,59.2,43.7
2803,77.1,23.8,23.8,112.7,59.3,43.5
2804,77.7,23.7,23.5,114.4,59.8,44.4
2805,77.6,24.0,24.0,115.1,60.2,44.5
2806,77.5,24.1,23.5,113.0,59.5,43.7
2807,77.1,24.1,23.4,113.0,59.4,43.7
2808,74.9,23.7,23.8,114.4,59.2,44.0
2809,76.3,24.1,23.3,114.2,59.5,44.1
2810,76.2,23.8,23.1,114.3,59.3,44.3
2811,76.4,23.8,23.3,114.0,59.4,44.1
2812,76.8,23.9,23.2,115.3,59.8,44.7
2813,79.1,23.9,23.2,114.6,60.2,44.7
2814,76.8,24.0,22.8,116.1,59.9,45.1
2815,77.0,24.5,23.1,114.9,59.9,44.4
2816,78.3,24.6,22.7,115.2,60.2,44.8
2817,76.0,24.4,22.3,114.5,59.3,44.4
2818,76.4,24.4,22.9,116.0,59.9,44.9
2819,76.3,24.5,22.9,115.6,59.8,44.7
2820,76.5,24.3,23.0,115.9,59.9,44.9
2821,76.8,24.0,22.7,116.1,59.9,45.2
2822,75.5,24.5,22.7,117.1,59.9,45.3
2823,75.7,24.6,22.6,116.8,59.9,45.2
