Time after Ignition,Nylon_R4,Nylon_R2,Nylon_R3,Mean,Std. Dev.
114.75,70.0,340.3,480.8,297.0,208.8
115.0,69.5,336.6,475.5,293.9,206.4
115.25,70.3,355.3,485.0,303.6,212.1
115.5,70.2,349.5,474.2,298.0,206.9
115.75,72.8,346.7,476.9,298.8,206.2
116.0,71.8,350.8,485.6,302.8,211.0
116.25,72.6,354.8,475.8,301.1,206.9
116.5,73.2,352.4,481.6,302.4,208.7
116.75,74.4,357.7,477.8,303.3,207.2
117.0,74.7,362.4,493.5,310.2,214.2
117.25,73.8,358.5,495.3,309.2,215.0
117.5,74.4,369.9,490.8,311.7,214.2
117.75,75.5,358.6,502.3,312.1,217.2
118.0,74.9,366.5,486.8,309.4,211.8
118.25,76.3,372.2,491.5,313.3,213.8
118.5,77.4,364.8,498.1,313.4,215.0
118.75,77.2,377.2,498.7,317.7,216.9
119.0,77.4,374.0,504.7,318.7,218.9
119.25,78.9,370.4,485.4,311.6,209.6
119.5,78.8,375.1,498.5,317.5,215.7
119.75,79.1,380.2,500.2,319.8,216.9
120.0,81.7,379.9,505.4,322.3,217.7
120.25,80.9,372.3,497.8,317.0,213.9
120.5,82.5,374.0,496.0,317.5,212.5
120.75,83.2,391.4,491.8,322.1,212.9
121.0,84.0,371.8,493.5,316.4,210.3
121.25,84.2,384.7,485.7,318.2,208.8
121.5,84.3,389.3,498.1,323.9,214.5
121.75,86.4,378.3,505.9,323.5,215.0
122.0,86.2,396.0,500.6,327.6,215.5
122.25,86.1,393.6,507.5,329.1,218.0
122.5,88.4,388.0,484.4,320.3,206.5
122.75,88.4,388.1,505.0,327.2,214.9
123.0,90.2,395.8,505.8,330.6,215.3
123.25,89.5,400.3,506.0,331.9,216.5
123.5,88.9,398.9,510.7,332.8,218.5
123.75,90.8,403.2,500.4,331.5,214.0
124.0,91.6,402.9,511.4,335.3,217.9
124.25,93.7,401.7,481.5,325.6,204.8
124.5,92.1,405.7,508.1,335.3,216.7
124.75,96.4,402.0,504.3,334.2,212.2
125.0,96.9,405.4,503.5,335.3,212.2
125.25,98.3,421.3,506.4,342.0,215.3
125.5,99.8,408.6,495.6,334.7,208.0
125.75,100.1,406.3,498.8,335.1,208.7
126.0,103.5,417.8,512.1,344.5,214.0
126.25,105.1,422.4,501.3,342.9,209.7
126.5,106.1,417.8,512.1,345.4,212.5
126.75,107.8,418.2,513.6,346.5,212.2
127.0,111.9,411.3,509.2,344.1,207.0
127.25,114.5,422.2,524.0,353.5,213.2
127.5,116.1,413.4,520.6,350.0,209.6
127.75,116.6,428.0,527.8,357.5,214.5
128.0,121.4,431.7,521.6,358.2,210.0
128.25,125.6,423.3,509.9,352.9,201.6
128.5,126.2,420.6,515.5,354.1,203.0
128.75,128.9,435.4,515.1,359.8,203.9
129.0,134.0,427.4,521.4,360.9,202.1
