Names,Nylon_R1,Nylon_R2,Nylon_R3,Mean,Std. Dev.
619,207.1,613.4,697.5,506.0,262.2
620,197.4,594.8,673.1,488.4,255.1
621,187.1,597.4,659.8,481.4,256.8
622,176.9,591.5,631.4,466.6,251.7
623,169.0,566.2,636.8,457.3,252.2
624,159.6,557.8,627.7,448.3,252.5
625,152.9,540.0,601.7,431.5,243.3
626,145.6,537.3,594.0,425.7,244.2
627,137.7,515.5,589.2,414.1,242.2
628,132.6,496.4,574.5,401.2,235.9
629,126.3,487.6,558.0,390.6,231.6
630,119.2,467.7,554.5,380.5,230.4
