Time after Ignition,Luan_Panel_R1,Luan_Panel_R2,Luan_Panel_R3,Luan_Panel_R4,Mean,Std. Dev.
61.0,266.9834905466253,193.11383651805525,208.90126935624747,215.44989630931076,221.11212318255969,31.985685154083843
61.25,269.95041501189735,195.75035449550444,206.38331635419772,214.32891366778006,221.6032498823449,33.117884996432956
61.5,270.71068354758734,192.9079958493723,204.94263945900957,212.983050239855,220.38609227395602,34.549073968211815
61.75,267.14391896269444,193.72682513087994,212.2014143276989,215.8961219664188,222.24207009692304,31.466283823531533
62.0,264.8456045642938,194.63223171850947,211.75507164254697,215.33467836804277,221.64189657334825,30.186159568248364
62.25,271.7805820916357,195.65032706771098,207.781061341176,216.51717778616452,222.93228707167182,33.67083078024949
62.5,262.2904221912772,197.40656853709754,214.1528048205962,220.06535707344042,223.4787881556028,27.596672802303424
62.75,262.05728384175956,197.02755992151293,213.3127055789307,217.33220593367344,222.43243881896916,27.837134219888657
63.0,261.1941372670721,193.02205622592996,213.11904317820517,217.80912129279733,221.28608949100112,28.695515369902242
63.25,256.11446621580563,199.85846688012924,210.35948573842322,219.20691671115955,221.38483388637943,24.466531311369426
63.5,259.3366431700836,193.06024579298173,208.2470420632903,218.92130399046056,219.89130875420403,28.357069681829827
63.75,257.5078639583921,196.62464869402373,216.14236122650576,223.49303973638573,223.44197840382682,25.383332783384642
64.0,259.30236629150903,197.17326431973035,213.52800997767272,217.92433179596483,221.9819930962192,26.433676278170516
64.25,258.05625251168556,195.72142758049557,215.8970100732282,219.2344542988459,222.2272861160638,26.046783593825925
64.5,251.98528941444746,196.402465264475,215.83047391243807,222.67022053321014,221.72211228114267,23.04021648607539
64.75,251.88502863920536,197.74283544975629,215.59815691235073,220.73102864529062,221.48926241165074,22.532017519262595
65.0,255.51272877954122,194.91104349991662,214.3547657739404,220.278340655136,221.26421967713355,25.27292873841825
65.25,253.35947128151528,196.31113390790927,215.4981801663729,221.90639985333615,221.76879630228342,23.70234082455853
65.5,257.0395859696031,196.41445414247792,216.82766211419232,226.72495928881202,224.25166537877132,25.240120663490185
65.75,255.18416835407908,197.73584595086723,215.06820294342657,225.9862899079567,223.49362678908238,24.11745450080673
66.0,248.46297597168234,202.54078199830946,217.181357540936,223.57378655690667,222.93972551695862,19.15823622363026
66.25,250.82796898669446,196.4873764381238,217.8280882992165,227.33371604840258,223.11928744310933,22.52989061602927
66.5,248.23513229998971,199.46797102879276,218.98566001667527,230.8219975461592,224.37769022290425,20.49613572857428
66.75,247.4347656741196,202.6606348405271,217.48129005472558,229.51817760432138,224.27371704342343,18.949062658912986
67.0,247.02104734424844,203.28174178532674,217.11648827703345,228.57532974027242,223.99865178672027,18.507036615638274
67.25,242.93815379286292,203.63079131157497,215.4447613098188,227.30780134667808,222.3303769402337,16.798228337367238
67.5,247.5501701506296,202.11947576352904,216.15050535419485,232.17114358522994,224.49782371339586,19.670271095173806
67.75,243.57817027310386,202.79199237575133,217.87533136500005,234.85675484645043,224.77556221507643,18.129708982031836
68.0,244.74116270631728,203.11043794091074,219.00863008502287,230.0506878180702,224.22772963758027,17.58680174618664
68.25,242.5015986507899,206.69765582705412,217.7181937692186,229.2290155278303,224.03661594372323,15.367482948485963
68.5,240.5904158944544,203.75730414657647,215.53624747218507,233.02296121274543,223.22673218149032,16.68997501882898
68.75,235.89109485481112,207.32813723005472,216.00681568739017,229.88575783641838,222.2779514021686,12.987435984277813
69.0,240.10325037861173,206.55327462855266,220.92239063827864,236.3634309272098,225.98558664316323,15.386777714953551
69.25,237.84635670210227,203.71413530179862,222.68182487331518,232.54575650681497,224.19701834600778,15.031635257009484
69.5,238.875837300844,203.73952881928605,214.23724285614497,233.8726290884589,222.68130951618346,16.508600603578998
69.75,230.87167600782826,209.5400084441509,219.8517851551393,233.59213159747082,223.46390030114733,11.020864309506619
70.0,236.66058757318197,207.6804180480714,217.66428973235966,234.6477470592086,224.1632606032054,13.904775663035776
70.25,237.5705434407956,208.30848283443376,220.9816724215412,235.53098771333347,225.59792160252601,13.689946742779728
70.5,237.59411371955855,209.53384507465455,218.28820486172725,234.1739955824586,224.89753980959975,13.253704452197557
70.75,236.3943128338823,212.3101362245523,217.87023265026917,237.24607368272672,225.95518884785764,12.754258997939576
71.0,233.7627299467406,213.14719635155316,221.2160518383463,234.2146591154911,225.58515931303276,10.249112987089966
71.25,237.5825596934556,209.8717119785495,217.25020541633276,235.55707353586385,225.06538765605043,13.646488222832957
71.5,235.68875575645765,212.45276034902292,216.92092648211832,237.3828694707319,225.6113280145827,12.76446525777878
71.75,233.92600282428836,215.84892786727602,215.97276375742638,238.00141193091662,225.93727659497682,11.696572208873437
72.0,234.58018209700816,216.30226075074563,219.58971245588802,236.29910389418518,226.69281479945676,10.212884499499973
72.25,232.80485352338138,218.03948542926463,219.1511965978674,238.41587220755326,227.10285193951665,10.09737069437617
72.5,235.2471168321326,215.90742968230876,216.11909887051186,237.0365325952134,226.07754449504165,11.644488704758361
72.75,237.43443090885572,216.69728754012755,217.24195227065204,237.68839424971765,227.26551624233826,11.891208293642032
73.0,233.68637955150464,220.49995710058295,219.06146577722583,234.07097912688093,226.8296953890486,8.162133830029552
73.25,230.20729389828003,220.412010216897,218.58377640391285,234.36791230214612,225.89274820530898,7.613655904497709
73.5,231.97373269380705,217.37984613609274,215.27126312509816,235.36840734292755,224.99831232448136,10.146458712464634
73.75,240.26921149060735,220.94529955553577,217.34681742711226,242.1093020819555,230.16765763880272,12.833161400284926
74.0,233.65905254729225,218.51014105820238,212.99450509552528,230.27183656332838,223.8588838160871,9.726476651769664
74.25,238.0752597964681,219.6921023679929,217.03423773582364,235.4099924431599,227.55289808586113,10.722069958514693
74.5,232.0646727725029,224.0440317422122,212.86470080225376,238.1843827514578,226.78944701710668,10.94087792546942
74.75,234.0850683532562,222.34641492601102,214.3593029322852,230.26983371583674,225.2651549818473,8.761551109822287
75.0,232.9644043419623,227.5723989494039,216.228383340355,235.72636294810275,228.122887394956,8.622362226000005
75.25,233.18115628231556,228.27871214577064,210.42811877604217,232.03565445309553,225.98091041430598,10.577849284793473
75.5,233.08445653562805,225.3036581243557,218.46680216539323,230.09369889927893,226.737153931164,6.377258372094244
75.75,234.71549504300805,223.7929586984012,217.98096904425503,232.13968748440152,227.15727756751645,7.69143115321343
