Names,Polyisocyanurate_Foam_Board_R1,Polyisocyanurate_Foam_Board_R2,Polyisocyanurate_Foam_Board_R3,Polyisocyanurate_Foam_Board_R4,Mean,Std. Dev.
510,25.9,,34.4,28.0,29.4,4.4
511,25.9,,33.8,28.1,29.3,4.1
512,25.8,,34.1,28.3,29.4,4.3
513,25.7,,34.9,28.4,29.7,4.8
514,25.5,,33.9,28.0,29.1,4.3
515,25.3,,34.3,28.5,29.3,4.6
516,25.1,,34.8,28.5,29.5,4.9
517,25.2,,34.4,28.3,29.3,4.7
518,25.2,,34.4,28.2,29.3,4.7
519,24.9,,34.5,28.2,29.2,4.9
520,24.8,,34.2,28.0,29.0,4.8
521,24.9,,34.0,28.2,29.0,4.6
522,25.0,,34.5,28.4,29.3,4.8
523,25.2,,34.4,28.4,29.3,4.7
524,25.2,,34.5,29.0,29.5,4.7
525,24.8,,34.5,28.7,29.3,4.9
526,25.0,,35.0,28.3,29.5,5.1
527,25.5,,34.6,28.5,29.5,4.6
528,24.8,,34.3,29.0,29.4,4.7
529,25.1,,34.1,29.0,29.4,4.5
530,25.0,,34.5,28.9,29.5,4.8
531,25.1,,34.3,29.1,29.5,4.6
532,25.1,,34.2,29.3,29.5,4.6
533,24.7,,34.4,29.0,29.4,4.9
534,25.2,,34.4,29.0,29.6,4.6
535,24.9,,34.5,29.0,29.5,4.8
536,25.2,,34.6,29.3,29.7,4.7
537,24.7,,34.2,29.7,29.5,4.7
538,24.9,,34.4,29.1,29.5,4.8
539,25.0,,35.0,29.3,29.8,5.1
540,24.6,,33.9,29.2,29.2,4.7
541,25.0,,34.3,29.0,29.4,4.7
542,24.8,,34.5,28.9,29.4,4.9
543,24.8,,34.1,29.2,29.3,4.7
544,24.5,,33.3,29.1,29.0,4.4
545,24.9,,33.8,29.0,29.3,4.4
546,24.9,,33.5,29.4,29.3,4.3
547,24.8,,33.7,28.8,29.1,4.5
548,24.7,,33.2,29.0,29.0,4.2
549,25.2,,33.0,28.8,29.0,3.9
550,24.9,,32.7,28.8,28.8,3.9
551,24.9,,32.8,28.8,28.8,3.9
552,25.0,,32.5,29.0,28.8,3.7
553,24.9,,,28.3,26.6,2.4
554,24.8,,,28.3,26.6,2.5
555,24.8,,,28.5,26.7,2.7
556,24.9,,,29.0,26.9,2.9
557,25.2,,,28.8,27.0,2.6
558,25.2,,,28.9,27.0,2.6
559,24.8,,,,24.8,
560,24.7,,,,24.7,
561,25.1,,,,25.1,
562,25.3,,,,25.3,
563,24.9,,,,24.9,
564,24.9,,,,24.9,
565,24.8,,,,24.8,
566,24.8,,,,24.8,
567,25.1,,,,25.1,
568,24.9,,,,24.9,
569,24.9,,,,24.9,
570,25.3,,,,25.3,
571,25.3,,,,25.3,
572,25.2,,,,25.2,
573,24.7,,,,24.7,
574,24.9,,,,24.9,
575,24.8,,,,24.8,
576,24.9,,,,24.9,
577,25.1,,,,25.1,
578,24.8,,,,24.8,
