Names,Polyester_Microfiber_Sheet_R1,Polyester_Microfiber_Sheet_R2,Polyester_Microfiber_Sheet_R3,Mean,Std. Dev.
512,13.5,19.4,,16.4,4.2
513,13.5,19.0,,16.2,3.9
514,13.4,19.2,,16.3,4.1
515,13.2,18.9,,16.1,4.0
516,13.2,18.7,,15.9,3.9
517,13.0,18.9,,15.9,4.1
518,13.1,18.4,,15.8,3.8
519,12.9,18.1,,15.5,3.6
520,12.8,17.9,,15.3,3.6
521,12.6,17.7,,15.1,3.6
522,12.5,17.3,,14.9,3.4
523,12.6,17.1,,14.9,3.1
524,12.3,16.9,,14.6,3.3
525,12.3,16.8,,14.6,3.2
526,12.4,16.4,,14.4,2.9
527,12.3,16.5,,14.4,2.9
528,12.2,15.8,,14.0,2.6
529,12.1,16.1,,14.1,2.9
530,12.4,15.7,,14.0,2.3
531,12.1,15.4,,13.8,2.3
532,12.2,15.3,,13.8,2.2
533,12.3,15.2,,13.8,2.1
534,12.3,15.1,,13.7,2.0
535,12.1,15.0,,13.6,2.1
536,12.2,15.2,,13.7,2.1
537,12.1,15.0,,13.5,2.0
538,12.0,14.8,,13.4,2.0
539,12.1,14.6,,13.3,1.8
540,12.0,14.5,,13.3,1.8
541,12.0,14.6,,13.3,1.8
542,12.0,14.7,,13.4,1.9
543,11.9,14.5,,13.2,1.9
544,12.0,14.2,,13.1,1.5
545,11.8,14.2,,13.0,1.7
546,12.0,14.1,,13.0,1.5
547,11.9,13.8,,12.8,1.4
548,12.0,13.7,,12.8,1.2
549,12.0,13.4,,12.7,1.0
550,12.2,13.3,,12.8,0.8
551,11.9,13.1,,12.5,0.8
552,12.1,13.1,,12.6,0.7
553,11.9,12.8,,12.4,0.6
554,11.9,12.7,,12.3,0.6
555,11.9,12.4,,12.1,0.4
556,11.9,12.7,,12.3,0.6
557,12.1,12.5,,12.3,0.3
558,11.8,,,11.8,
559,11.8,,,11.8,
560,11.9,,,11.9,
561,12.0,,,12.0,
562,12.0,,,12.0,
563,11.8,,,11.8,
