Names,Nylon_Carpet_High_Pile_R1,Nylon_Carpet_High_Pile_R2,Nylon_Carpet_High_Pile_R3,Mean,Std. Dev.
632,159.5,138.1,151.6,149.7,10.8
633,161.2,137.3,152.9,150.5,12.1
634,160.2,141.2,153.3,151.6,9.6
635,156.5,139.2,149.5,148.4,8.7
636,160.3,138.7,150.7,149.9,10.8
637,159.8,137.4,150.7,149.3,11.2
638,158.8,139.4,148.7,149.0,9.7
639,157.3,136.2,146.6,146.7,10.6
640,157.1,138.1,147.2,147.5,9.5
641,156.4,136.6,147.5,146.8,10.0
642,158.5,136.8,149.6,148.3,10.9
643,158.1,136.9,148.4,147.8,10.6
644,157.5,134.6,149.7,147.3,11.6
645,155.1,135.1,145.8,145.3,10.0
646,156.8,134.7,146.3,145.9,11.1
647,157.4,137.6,148.5,147.8,10.0
648,157.3,135.3,148.2,146.9,11.0
649,156.3,136.2,145.0,145.8,10.0
650,157.4,134.1,146.3,145.9,11.7
651,156.2,134.0,145.1,145.1,11.1
652,156.3,134.7,147.3,146.1,10.9
653,159.2,132.0,145.7,145.6,13.6
654,155.0,134.7,147.6,145.8,10.3
655,154.9,136.0,144.1,145.0,9.5
656,155.7,133.3,142.0,143.6,11.3
657,155.7,132.0,145.8,144.5,11.9
658,154.3,133.5,144.2,144.0,10.4
659,155.4,135.5,142.5,144.5,10.1
660,153.6,135.5,141.0,143.3,9.3
661,154.0,132.2,141.6,142.6,10.9
662,155.1,133.8,142.8,143.9,10.7
663,151.9,131.6,140.9,141.4,10.1
664,151.8,136.8,143.0,143.9,7.6
665,154.5,133.5,138.8,142.2,10.9
666,153.8,132.5,139.0,141.8,10.9
667,153.7,130.2,139.8,141.2,11.8
668,154.4,130.5,137.5,140.8,12.3
669,154.3,132.1,138.8,141.8,11.4
670,154.4,133.1,138.9,142.2,11.0
671,152.2,132.3,137.7,140.7,10.3
672,152.8,133.5,138.4,141.6,10.1
673,155.2,130.8,133.8,139.9,13.3
674,156.4,130.4,136.7,141.2,13.5
675,155.0,133.1,136.7,141.6,11.8
676,151.5,131.7,135.9,139.7,10.4
677,152.1,129.8,136.1,139.3,11.5
678,152.8,130.2,134.6,139.2,12.0
679,153.8,129.5,132.9,138.7,13.1
680,152.0,130.2,132.9,138.4,11.9
681,152.0,129.5,133.4,138.3,12.0
682,151.4,129.8,133.0,138.1,11.7
683,154.0,130.5,130.2,138.2,13.7
684,151.8,130.9,129.4,137.4,12.5
685,152.7,129.1,129.9,137.2,13.4
686,150.4,128.8,128.0,135.7,12.7
687,149.7,130.6,130.4,136.9,11.1
688,150.6,128.7,130.0,136.4,12.3
689,149.7,128.7,127.9,135.5,12.4
690,150.1,127.9,127.9,135.3,12.8
691,148.7,128.5,127.8,135.0,11.9
692,151.8,128.0,126.5,135.4,14.2
693,150.1,127.6,127.8,135.2,12.9
694,149.2,127.3,127.1,134.5,12.7
695,149.6,126.2,125.3,133.7,13.8
696,147.6,126.4,125.5,133.2,12.5
697,148.5,123.3,124.9,132.2,14.1
