Time after Ignition,Nylon_Carpet_High_Pile_R1,Nylon_Carpet_High_Pile_R2,Nylon_Carpet_High_Pile_R3,Mean,Std. Dev.
141.5,247.98973975602547,230.66141249240965,263.88249317408446,247.51121514083988,16.615709126308474
141.75,247.96819158743295,226.9278636716358,263.20292345350157,246.0329929041901,18.214794426569913
142.0,245.31255998825563,228.5177532778858,265.40426489807504,246.4115260547388,18.467795745243947
142.25,243.75505843637063,230.39282579637882,270.2668225598097,248.13823559751972,20.29514932174777
142.5,241.16410208675362,227.51283538731684,270.61480610446915,246.43058119284652,22.028318627547332
142.75,243.27303815142645,228.40005616404656,265.64655029305425,245.77321486950908,18.74869312623637
143.0,248.48395103509037,226.70569617431124,264.4645572996077,246.55140150300312,18.953468261517045
143.25,246.75198058963957,225.67447089268444,267.1943919188886,246.54028113373752,20.76077004834549
143.5,246.43086707781595,219.97035852598177,268.8227277210523,245.07465110828332,24.454406255517227
143.75,252.9258917668793,220.23634180949657,267.9579377965698,247.0400571243152,24.399179657686584
144.0,255.00515838794152,213.4561385978886,266.59909802807437,245.02013167130153,27.94314053839696
144.25,253.66792855366256,220.47965632448066,263.19018208062477,245.77925565292267,22.42143221769549
144.5,248.18977099798332,216.84206962106916,260.8189758981787,241.95027217241037,22.642671675890263
144.75,251.31289299707018,212.95669947104832,264.86071681689697,243.0434364283385,26.92201121974627
145.0,251.7005144449997,209.86073912275762,265.5024236355513,242.35455906776951,28.974289038563114
145.25,247.90363979056636,207.96657869763396,265.456358036554,240.4421921749181,29.46223994370126
145.5,250.64242454527428,208.60937302077636,269.47579045665776,242.90919600756948,31.161391345413655
145.75,255.7976875139343,205.60240912175067,265.1165384557342,242.17221169713972,32.01129630335314
146.0,258.57168739578134,203.65287374603872,269.5859801642138,243.93684710201128,35.318940291375064
146.25,254.6321205829978,205.45410920301848,267.68916866138557,242.59179948246728,32.81809951230467
146.5,252.63881025420062,200.30307286856333,267.7773507463282,240.2397446230307,35.40476189972192
146.75,249.5144286589722,204.62627365045515,271.2101162998889,241.78360620310545,33.95844868915892
147.0,256.530588720863,202.8913937317316,267.2077398913687,242.20990744798777,34.46678879618794
