Time after Ignition,Eucalyptus_Flooring_R1,Eucalyptus_Flooring_R2,Eucalyptus_Flooring_R3,Mean,Std. Dev.
2295.0,36.131329964899756,,,36.131329964899756,
2295.25,36.54283308953383,,,36.54283308953383,
2295.5,36.87747709126378,,,36.87747709126378,
2295.75,35.80216343878184,,,35.80216343878184,
2296.0,36.375812712388125,,,36.375812712388125,
2296.25,36.23734070042393,,,36.23734070042393,
2296.5,35.50408313140887,,,35.50408313140887,
2296.75,35.50528818058776,,,35.50528818058776,
2297.0,35.97867349261626,,,35.97867349261626,
2297.25,36.035929271913496,,,36.035929271913496,
2297.5,35.49839217643943,,,35.49839217643943,
2297.75,35.671140827930174,,,35.671140827930174,
2298.0,35.651062038099184,,,35.651062038099184,
2298.25,35.45161783994383,,,35.45161783994383,
2298.5,35.03623989617855,,,35.03623989617855,
2298.75,35.44177741137754,,,35.44177741137754,
2299.0,36.058099938486386,,,36.058099938486386,
2299.25,35.75249816980525,,,35.75249816980525,
2299.5,35.45083326282705,,,35.45083326282705,
2299.75,35.41726291218121,,,35.41726291218121,
2300.0,35.44538825795764,,,35.44538825795764,
2300.25,35.7640712839229,,,35.7640712839229,
2300.5,35.46967429264117,,,35.46967429264117,
2300.75,36.19820844110495,,,36.19820844110495,
2301.0,35.671752803957624,,,35.671752803957624,
2301.25,35.45992302094337,,,35.45992302094337,
2301.5,35.357753146723255,,,35.357753146723255,
2301.75,35.94118679990604,,,35.94118679990604,
2302.0,35.78526890235292,,,35.78526890235292,
2302.25,35.87914241631836,,,35.87914241631836,
2302.5,36.08191120917233,,,36.08191120917233,
2302.75,36.68013172132523,,,36.68013172132523,
2303.0,36.07829650810094,,,36.07829650810094,
2303.25,36.99280666470159,,,36.99280666470159,
2303.5,35.83522122332745,,,35.83522122332745,
2303.75,35.304692916585395,,,35.304692916585395,
2304.0,36.43077847966224,,,36.43077847966224,
2304.25,35.881092552683235,,,35.881092552683235,
2304.5,35.739618845129186,,,35.739618845129186,
2304.75,36.18210984529747,,,36.18210984529747,
2305.0,36.01884141926117,,,36.01884141926117,
2305.25,35.969818874916825,,,35.969818874916825,
2305.5,35.97794261388242,,,35.97794261388242,
2305.75,35.155615830821354,,,35.155615830821354,
2306.0,36.242292052509455,,,36.242292052509455,
2306.25,35.72665959258756,,,35.72665959258756,
2306.5,35.81735303805138,,,35.81735303805138,
2306.75,35.410702144444805,,,35.410702144444805,
2307.0,34.914931068968926,,,34.914931068968926,
2307.25,35.61204514039064,,,35.61204514039064,
2307.5,35.853184390120546,,,35.853184390120546,
2307.75,35.22602673023274,,,35.22602673023274,
2308.0,35.626773660656134,,,35.626773660656134,
2308.25,35.67267341022979,,,35.67267341022979,
2308.5,35.120043769401775,,,35.120043769401775,
2308.75,36.16486975226306,,,36.16486975226306,
2309.0,35.23525115391771,,,35.23525115391771,
2309.25,35.35898025337588,,,35.35898025337588,
2309.5,35.29882633811301,,,35.29882633811301,
2309.75,36.00233441911604,,,36.00233441911604,
2310.0,35.747018021977674,,,35.747018021977674,
2310.25,35.19587597264187,,,35.19587597264187,
2310.5,35.56260126858664,,,35.56260126858664,
2310.75,36.1418286459291,,,36.1418286459291,
2311.0,35.85493370381227,,,35.85493370381227,
2311.25,35.13035714733273,,,35.13035714733273,
2311.5,35.78843800229977,,,35.78843800229977,
2311.75,35.155553164481056,,,35.155553164481056,
2312.0,35.47114377557027,,,35.47114377557027,
2312.25,35.0663550481243,,,35.0663550481243,
2312.5,35.498608210908976,,,35.498608210908976,
2312.75,35.44698089702464,,,35.44698089702464,
2313.0,35.51667140707356,,,35.51667140707356,
2313.25,35.92885625601598,,,35.92885625601598,
2313.5,35.33792616857076,,,35.33792616857076,
2313.75,36.11644887559991,,,36.11644887559991,
2314.0,35.440935844556904,,,35.440935844556904,
2314.25,34.97581014542368,,,34.97581014542368,
2314.5,35.07254240669605,,,35.07254240669605,
2314.75,35.757340460198435,,,35.757340460198435,
2315.0,35.777854467080054,,,35.777854467080054,
2315.25,35.48335615177633,,,35.48335615177633,
2315.5,35.61650411070975,,,35.61650411070975,
2315.75,35.777256648054916,,,35.777256648054916,
2316.0,35.793851244695844,,,35.793851244695844,
2316.25,35.44865691710564,,,35.44865691710564,
2316.5,36.12065235196694,,,36.12065235196694,
2316.75,35.44070105684461,,,35.44070105684461,
2317.0,35.84305003257759,,,35.84305003257759,
2317.25,35.96533061039454,,,35.96533061039454,
2317.5,35.89757529323143,,,35.89757529323143,
2317.75,35.67255022168383,,,35.67255022168383,
2318.0,36.068359223629294,,,36.068359223629294,
2318.25,36.31795435877914,,,36.31795435877914,
2318.5,35.994065100518,,,35.994065100518,
2318.75,36.385569191204745,,,36.385569191204745,
2319.0,35.918287416181116,,,35.918287416181116,
2319.25,36.14527613110919,,,36.14527613110919,
